dataset,filename,stem,extension,size_bytes,width,height,mode,md5,phash,path
dataset_A,IMG20221109101637.jpg,IMG20221109101637,.jpg,5849781,3456,4608,RGB,948c9154c3153d2acb1a02a313daa205,8f1e733387063cf0,data\raw\dataset_A\Pics\IMG20221109101637.jpg
dataset_A,IMG20221109101638.jpg,IMG20221109101638,.jpg,5288027,3456,4608,RGB,1752e844d041abb6a668759ac0876887,d088e87095ceeef4,data\raw\dataset_A\Pics\IMG20221109101638.jpg
dataset_A,IMG20221109101640.jpg,IMG20221109101640,.jpg,5116474,3456,4608,RGB,59ad1f0398db914a8f2295fa9efa453e,f8f8173e282484fe,data\raw\dataset_A\Pics\IMG20221109101640.jpg
dataset_A,IMG20221109101643.jpg,IMG20221109101643,.jpg,5897157,3456,4608,RGB,308b6e162d5b6654e2e81bf1252fd268,c40e577e3e94c0f4,data\raw\dataset_A\Pics\IMG20221109101643.jpg
dataset_A,IMG20221109101643_01.jpg,IMG20221109101643_01,.jpg,5882531,3456,4608,RGB,17c3ca06d2039cd3a69fddaaf4c7e6ee,e120273babfa78a8,data\raw\dataset_A\Pics\IMG20221109101643_01.jpg
dataset_A,IMG20221109101645.jpg,IMG20221109101645,.jpg,6162988,3456,4608,RGB,00470ab3def95c7e401617d0e27660ab,d707896a368e4e78,data\raw\dataset_A\Pics\IMG20221109101645.jpg
dataset_A,IMG20221109101647.jpg,IMG20221109101647,.jpg,5925950,3456,4608,RGB,b27fa3898448a88b2a77a765a4386a4b,f830851b09c1ff2f,data\raw\dataset_A\Pics\IMG20221109101647.jpg
dataset_A,IMG20221109101649.jpg,IMG20221109101649,.jpg,6251569,3456,4608,RGB,b8fdff78d74ac7d1d80692b01e00145e,ce1599ea7815894f,data\raw\dataset_A\Pics\IMG20221109101649.jpg
dataset_A,IMG20221109101650.jpg,IMG20221109101650,.jpg,6014657,3456,4608,RGB,845b1854b67c40559cc1d4d39dd2d863,c800d77f3e97e250,data\raw\dataset_A\Pics\IMG20221109101650.jpg
dataset_A,IMG20221109101650_01.jpg,IMG20221109101650_01,.jpg,6526134,3456,4608,RGB,19cad7c1075af20acfa738749f125c3b,f074d53f1fc0283a,data\raw\dataset_A\Pics\IMG20221109101650_01.jpg
dataset_A,IMG20221109101652.jpg,IMG20221109101652,.jpg,5728505,3456,4608,RGB,e0b2ae22b8069a22a18852fe878aa87d,8b9e5e6b31303a2d,data\raw\dataset_A\Pics\IMG20221109101652.jpg
dataset_A,IMG20221109101653.jpg,IMG20221109101653,.jpg,4960557,3456,4608,RGB,fdbc2c87abe68ecbad0060cca8ff450c,8786434f3e1e4f4a,data\raw\dataset_A\Pics\IMG20221109101653.jpg
dataset_A,IMG20221109101654.jpg,IMG20221109101654,.jpg,5591545,3456,4608,RGB,a28c8e0c8c5d6211bba7d539233ea27d,ea55d3f670c0e033,data\raw\dataset_A\Pics\IMG20221109101654.jpg
dataset_A,IMG20221109101655.jpg,IMG20221109101655,.jpg,5234237,3456,4608,RGB,e9a60931ba66d61597816d531bb99bdd,d294f57390c2279e,data\raw\dataset_A\Pics\IMG20221109101655.jpg
dataset_A,IMG20221109101656.jpg,IMG20221109101656,.jpg,5779582,3456,4608,RGB,d81f8d0521d83d178131bbf4c29ad3e7,ce8ef4e3c6442cc6,data\raw\dataset_A\Pics\IMG20221109101656.jpg
dataset_A,IMG20221109101657.jpg,IMG20221109101657,.jpg,6635487,3456,4608,RGB,f4978b436035a1c26fdf4ff04d093212,a7dd6b40993e8135,data\raw\dataset_A\Pics\IMG20221109101657.jpg
dataset_A,IMG20221109101659.jpg,IMG20221109101659,.jpg,6571251,3456,4608,RGB,fe3dc43eb171eea375740313788c3a6d,d28aaa7ad2609b9e,data\raw\dataset_A\Pics\IMG20221109101659.jpg
dataset_A,IMG20221109101700.jpg,IMG20221109101700,.jpg,6300612,3456,4608,RGB,d6f9e8f232b3b1c877c9f3653aaa720e,cf8ffc60a545b80c,data\raw\dataset_A\Pics\IMG20221109101700.jpg
dataset_A,IMG20221109101715.jpg,IMG20221109101715,.jpg,6512398,3456,4608,RGB,c7bcc61b93001420d04052d4cf1fd72d,baff8126c2941fc8,data\raw\dataset_A\Pics\IMG20221109101715.jpg
dataset_A,IMG20221109120204.jpg,IMG20221109120204,.jpg,3441055,3456,4608,RGB,8261d3c3821301232b7539c0be352012,a3f4f420213dd567,data\raw\dataset_A\Pics\IMG20221109120204.jpg
dataset_A,IMG20221109120207.jpg,IMG20221109120207,.jpg,3814329,3456,4608,RGB,6d17081bc12ea008f6211a23c0f8d03f,a482c23f3f83c1d7,data\raw\dataset_A\Pics\IMG20221109120207.jpg
dataset_A,IMG20221109120213.jpg,IMG20221109120213,.jpg,4584240,3456,4608,RGB,449191fa398c40a828e5a05eef571c05,cb4b507c6ca4d25b,data\raw\dataset_A\Pics\IMG20221109120213.jpg
