epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1221.88,0.66878,0.49209,0.95487,0.9159,0.90409,0.95353,0.80412,0.66315,0.45733,0.95853,0.0008912,0.0008912,0.0008912
58,1243.53,0.67132,0.49865,0.95586,0.90825,0.89819,0.95616,0.79994,0.66573,0.44745,0.95951,0.0008714,0.0008714,0.0008714
59,1265.22,0.6596,0.47148,0.94664,0.93266,0.88234,0.94029,0.79702,0.66961,0.49349,0.95725,0.0008516,0.0008516,0.0008516
60,1287.02,0.65289,0.47477,0.94711,0.89806,0.92085,0.95435,0.80624,0.66492,0.44362,0.95669,0.0008318,0.0008318,0.0008318
61,1308.7,0.66812,0.47932,0.9528,0.93501,0.89961,0.95321,0.7999,0.65564,0.44635,0.95007,0.000812,0.000812,0.000812
62,1330.49,0.65069,0.47293,0.94604,0.90719,0.90575,0.94399,0.79937,0.66686,0.44251,0.95217,0.0007922,0.0007922,0.0007922
63,1352.19,0.66365,0.476,0.95223,0.89831,0.92091,0.95781,0.80905,0.64319,0.4227,0.95073,0.0007724,0.0007724,0.0007724
64,1373.92,0.6575,0.47049,0.94534,0.92626,0.87838,0.95732,0.80076,0.65075,0.4502,0.95198,0.0007526,0.0007526,0.0007526
65,1395.67,0.64354,0.47123,0.93826,0.93684,0.87838,0.95673,0.80522,0.65881,0.42256,0.95561,0.0007328,0.0007328,0.0007328
66,1417.33,0.65058,0.46645,0.94086,0.92425,0.89961,0.95912,0.81582,0.64007,0.43386,0.94774,0.000713,0.000713,0.000713
67,1438.95,0.63809,0.46201,0.94495,0.91659,0.91222,0.95133,0.80939,0.64705,0.443,0.94726,0.0006932,0.0006932,0.0006932
68,1460.53,0.64326,0.45164,0.93539,0.93311,0.88872,0.95293,0.81169,0.63723,0.42927,0.94828,0.0006734,0.0006734,0.0006734
69,1482.2,0.6453,0.4608,0.93958,0.92278,0.89976,0.95625,0.81379,0.6359,0.43431,0.94245,0.0006536,0.0006536,0.0006536
70,1503.86,0.63793,0.45427,0.93949,0.92325,0.88249,0.95631,0.81088,0.65295,0.43281,0.94521,0.0006338,0.0006338,0.0006338
71,1525.48,0.62995,0.44705,0.93577,0.93276,0.88369,0.95928,0.81525,0.64581,0.42647,0.93768,0.000614,0.000614,0.000614
72,1547.11,0.63142,0.44544,0.93431,0.92282,0.90026,0.953,0.81582,0.62297,0.43705,0.93654,0.0005942,0.0005942,0.0005942
73,1568.86,0.62491,0.44129,0.93316,0.91495,0.90154,0.95304,0.81212,0.63849,0.43155,0.94635,0.0005744,0.0005744,0.0005744
74,1590.49,0.61346,0.42655,0.92658,0.92817,0.89189,0.95245,0.80961,0.64176,0.42779,0.93885,0.0005546,0.0005546,0.0005546
75,1612.12,0.63354,0.44816,0.93729,0.9239,0.90347,0.95259,0.80849,0.64579,0.43042,0.94435,0.0005348,0.0005348,0.0005348
76,1633.67,0.622,0.43411,0.93667,0.91928,0.90927,0.9513,0.80858,0.64666,0.43388,0.94661,0.000515,0.000515,0.000515
77,1653.18,0.61753,0.42944,0.92144,0.93364,0.89632,0.94939,0.81286,0.62397,0.42503,0.93312,0.0004952,0.0004952,0.0004952
